name,bigChancesCreated,assists,accuratePasses,accuratePasses%,keyPasses,team,age,ageCategory
Rodrigo de Paul,3,2,515,86.7,12,Atlético Madrid,29,ideal
Ante Budimir,3,2,122,58.65,5,Osasuna,32,veteran
Vinícius Júnior,3,1,170,77.98,9,Real Madrid,23,young
Jules Koundé,3,1,923,92.21,12,Barcelona,25,young
Lucas Ocampos,3,1,289,72.07,17,Sevilla,29,ideal
Mikel Merino,3,2,415,78.9,8,Real Sociedad,27,ideal
Abdón Prats,3,1,79,58.96,10,Mallorca,31,veteran
Óscar de Marcos,3,3,509,82.1,12,Athletic Club,34,veteran
Hugo Duro,3,2,176,74.89,8,Valencia,24,young
Álvaro García,3,1,259,68.7,20,Rayo Vallecano,31,veteran
Iñigo Ruiz de Galarreta,3,0,486,81.96,14,Athletic Club,30,veteran
Cristhian Stuani,3,2,59,71.08,8,Girona FC,37,veteran
Brahim Díaz,3,1,153,82.26,5,Real Madrid,24,young
Rubén García,3,0,191,71.8,14,Osasuna,30,veteran
Adrià Pedrosa,3,3,266,76.22,16,Sevilla,25,young
Joselu,3,2,148,75.51,9,Real Madrid,33,veteran
Ianis Hagi,3,1,109,74.66,15,Deportivo Alavés,25,young
Mikel Vesga,3,1,333,77.99,4,Athletic Club,30,veteran
Luiz Henrique,3,2,66,70.21,6,Real Betis,22,young
Rubén Duarte,3,0,195,66.55,11,Deportivo Alavés,28,ideal
Rubén Peña,3,1,254,71.55,12,Osasuna,32,veteran
Arnau Martínez,3,2,362,89.16,8,Girona FC,20,youth
Fran García,3,3,293,89.06,8,Real Madrid,24,young
José Manuel Arnáiz,3,1,65,85.53,6,Osasuna,28,ideal
Marvin Park,3,2,149,78.84,7,Las Palmas,23,young
Carles Aleñá,3,1,158,81.44,11,Getafe,25,young
Myrto Uzuni,3,0,118,76.13,9,Granada,28,ideal
Chumi,3,1,462,86.03,4,Almería,24,young
